timestamp,host,version,array_size,replicate,elapsed_s
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,118,0.18993
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,119,0.19602
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,120,0.38198
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,121,0.60995
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,122,0.34871
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,123,0.10701
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,124,2.47183
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,125,0.98125
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,126,1.20044
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,127,0.02222
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,128,0.02039
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,129,4.3789
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,130,1.35985
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,131,0.66573
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,132,0.36134
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,133,0.41169
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,134,0.11344
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,135,1.66447
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,136,1.9164
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,137,1.51338
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,138,0.21498
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,139,0.32091
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,140,0.23369
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,141,0.02387
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,142,0.08902
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,143,1.03912
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,144,1.72381
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,145,0.72774
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,146,0.09779
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,147,3.03885
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,148,0.09281
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,149,0.10845
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,150,0.42441
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,151,0.18694
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,152,0.1193
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,153,0.57516
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,154,0.5664
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,155,0.01707
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,156,0.36334
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,157,2.79051
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,158,0.10679
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,159,1.06133
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,160,0.01727
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,161,0.10123
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,162,0.34769
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,163,0.09106
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,164,0.1921
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,165,0.09898
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,166,0.38107
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,167,0.19355
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,168,0.02379
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,169,3.01728
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,170,0.65101
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,171,0.0854
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,172,0.17858
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,173,1.55063
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,174,0.23997
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,175,0.36835
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,176,0.16738
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,177,0.01893
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,178,0.11858
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,179,0.18222
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,180,0.22125
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,181,0.10174
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,182,0.99254
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,183,0.16322
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,184,3.58267
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,185,0.09857
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,186,0.19424
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,187,2.35529
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,188,0.39909
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,189,0.81466
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,190,2.93571
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,191,0.20975
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,192,1.11409
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,193,1.19072
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,194,0.01705
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,195,0.01754
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,196,2.26226
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,197,1.65729
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,198,1.65792
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,199,0.10151
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,200,0.19842
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,201,0.10506
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,202,0.36657
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,203,0.4692
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,204,0.37189
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,205,1.33968
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,206,0.42045
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,207,0.01759
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,208,0.10489
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,209,0.11306
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,210,0.0814
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,211,0.42842
